sample_id,agent_vs_gt_loc,agent_vs_gt_sloc,agent_vs_gt_loc_delta,agent_vs_gt_sloc_delta,agent_vs_gt_diff_lines_added,agent_vs_gt_diff_lines_removed,agent_vs_gt_diff_total_change,agent_vs_gt_diff_hunks,bypass_vs_gt_loc,bypass_vs_gt_sloc,bypass_vs_gt_loc_delta,bypass_vs_gt_sloc_delta,bypass_vs_gt_diff_lines_added,bypass_vs_gt_diff_lines_removed,bypass_vs_gt_diff_total_change,bypass_vs_gt_diff_hunks,agent_vs_bypass_loc,agent_vs_bypass_sloc,agent_vs_bypass_loc_delta,agent_vs_bypass_sloc_delta,agent_vs_bypass_diff_lines_added,agent_vs_bypass_diff_lines_removed,agent_vs_bypass_diff_total_change,agent_vs_bypass_diff_hunks,gt_loc,gt_sloc,gt_loc_delta,gt_sloc_delta,gt_diff_lines_added,gt_diff_lines_removed,gt_diff_total_change,gt_diff_hunks,n_commits_a,n_commits_b,n_commits_total
547094754328-1,-4702.0,-4074.0,-4702.0,-4074.0,-932.0,3770.0,2838.0,-82.0,-674.0,-539.0,-674.0,-539.0,-2126.0,-1452.0,-3578.0,-80.0,-4028.0,-3535.0,-4028.0,-3535.0,1194.0,5222.0,6416.0,-2.0,5926.0,4687.0,704.0,566.0,2156.0,1452.0,3608.0,83.0,3,153,156
547640584307-1,189.0,116.0,189.0,116.0,186.0,-3.0,183.0,0.0,5.0,4.0,5.0,4.0,-11.0,-16.0,-27.0,-1.0,184.0,112.0,184.0,112.0,197.0,13.0,210.0,1.0,184.0,141.0,9.0,7.0,37.0,28.0,65.0,7.0,15,1,16
548683854532-1,136.0,88.0,136.0,88.0,137.0,1.0,138.0,1.0,-27.0,-17.0,-27.0,-17.0,-38.0,-11.0,-49.0,-3.0,163.0,105.0,163.0,105.0,175.0,12.0,187.0,4.0,764.0,596.0,82.0,57.0,94.0,12.0,106.0,6.0,1,1,2
549980692765-1,44.0,32.0,44.0,32.0,37.0,-7.0,30.0,-4.0,-44.0,-39.0,-44.0,-39.0,-45.0,-1.0,-46.0,0.0,88.0,71.0,88.0,71.0,82.0,-6.0,76.0,-4.0,703.0,593.0,119.0,105.0,127.0,8.0,135.0,9.0,4,5,9
550198980616-1,31.0,9.0,31.0,9.0,33.0,2.0,35.0,6.0,-212.0,-151.0,-212.0,-151.0,-253.0,-41.0,-294.0,-15.0,243.0,160.0,243.0,160.0,286.0,43.0,329.0,21.0,2036.0,1592.0,232.0,168.0,276.0,44.0,320.0,18.0,1,5,6
554737929809-1,2.0,-13.0,2.0,-13.0,-344.0,-346.0,-690.0,21.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,-3.0,0.0,5.0,-10.0,5.0,-10.0,-341.0,-346.0,-687.0,21.0,1197.0,1068.0,21.0,18.0,500.0,479.0,979.0,32.0,1,2,3
555866941928-1,81.0,50.0,81.0,50.0,81.0,0.0,81.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,86.0,55.0,86.0,55.0,86.0,0.0,86.0,0.0,291.0,216.0,291.0,216.0,291.0,0.0,291.0,1.0,2,1,3
558916203435-1,-4.0,-40.0,-4.0,-40.0,2.0,6.0,8.0,4.0,-234.0,-186.0,-234.0,-186.0,-267.0,-33.0,-300.0,-11.0,230.0,146.0,230.0,146.0,269.0,39.0,308.0,15.0,2463.0,1948.0,241.0,192.0,283.0,42.0,325.0,16.0,9,2,11
565259960336-1,44.0,22.0,44.0,22.0,43.0,-1.0,42.0,1.0,-12.0,-7.0,-12.0,-7.0,-12.0,0.0,-12.0,-5.0,56.0,29.0,56.0,29.0,55.0,-1.0,54.0,6.0,836.0,680.0,79.0,66.0,106.0,27.0,133.0,18.0,20,3,23
565480322436-1,35.0,23.0,35.0,23.0,36.0,1.0,37.0,2.0,-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,36.0,23.0,36.0,23.0,36.0,0.0,36.0,2.0,60.0,47.0,1.0,1.0,1.0,0.0,1.0,1.0,4,3,7
568854254076-1,191.0,116.0,191.0,116.0,198.0,6.0,204.0,0.0,1.0,1.0,1.0,1.0,-3.0,-5.0,-8.0,-1.0,190.0,115.0,190.0,115.0,201.0,11.0,212.0,1.0,148.0,108.0,-2.0,-1.0,4.0,7.0,11.0,2.0,1,1,2
569349300917-1,-703.0,-271.0,-703.0,-271.0,-289.0,-14.0,-303.0,2.0,-14.0,-11.0,-14.0,-11.0,381.0,-33.0,348.0,-7.0,-689.0,-260.0,-689.0,-260.0,-670.0,19.0,-651.0,9.0,3262.0,1213.0,856.0,344.0,464.0,36.0,500.0,16.0,20,37,57
569799787608-1,873.0,605.0,873.0,605.0,843.0,-30.0,813.0,2.0,4.0,4.0,4.0,4.0,-7.0,-11.0,-18.0,-1.0,869.0,601.0,869.0,601.0,850.0,-19.0,831.0,3.0,75.0,55.0,-93.0,-72.0,15.0,108.0,123.0,4.0,12,5,17
572378182939-1,26.0,13.0,26.0,13.0,29.0,3.0,32.0,1.0,-1.0,-1.0,-1.0,-1.0,-3.0,-2.0,-5.0,0.0,27.0,14.0,27.0,14.0,32.0,5.0,37.0,1.0,603.0,455.0,72.0,61.0,86.0,14.0,100.0,6.0,12,3,15
573684811854-1,12.0,7.0,12.0,7.0,69.0,58.0,127.0,23.0,-317.0,-224.0,-317.0,-224.0,-367.0,-50.0,-417.0,-10.0,329.0,231.0,329.0,231.0,436.0,108.0,544.0,33.0,2745.0,2092.0,395.0,276.0,446.0,51.0,497.0,16.0,1,41,42
576835630666-1,76.0,43.0,76.0,43.0,89.0,13.0,102.0,4.0,-40.0,-31.0,-40.0,-31.0,-59.0,-19.0,-78.0,-4.0,116.0,74.0,116.0,74.0,148.0,32.0,180.0,8.0,1296.0,1000.0,41.0,31.0,62.0,21.0,83.0,6.0,1,5,6
578982595950-1,75.0,45.0,75.0,45.0,75.0,0.0,75.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,76.0,45.0,76.0,45.0,76.0,0.0,76.0,0.0,488.0,308.0,488.0,308.0,488.0,0.0,488.0,1.0,2,1,3
590958933601-1,349.0,232.0,349.0,232.0,351.0,2.0,353.0,1.0,-1.0,-2.0,-1.0,-2.0,-13.0,-12.0,-25.0,0.0,350.0,234.0,350.0,234.0,364.0,14.0,378.0,1.0,298.0,231.0,78.0,59.0,106.0,29.0,135.0,11.0,3,1,4
598639147742-1,125.0,77.0,125.0,77.0,125.0,0.0,125.0,0.0,28.0,22.0,28.0,22.0,-42.0,-70.0,-112.0,-3.0,97.0,55.0,97.0,55.0,167.0,70.0,237.0,3.0,129.0,113.0,-27.0,-21.0,43.0,70.0,113.0,4.0,1,11,12
60581983439-1,127.0,68.0,127.0,68.0,130.0,3.0,133.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,1.0,127.0,68.0,127.0,68.0,131.0,4.0,135.0,0.0,184.0,119.0,72.0,55.0,103.0,31.0,134.0,5.0,1,1,2
606461807621-1,294.0,221.0,294.0,221.0,310.0,16.0,326.0,-4.0,24.0,20.0,24.0,20.0,-16.0,-40.0,-56.0,-6.0,270.0,201.0,270.0,201.0,326.0,56.0,382.0,2.0,542.0,454.0,18.0,16.0,72.0,54.0,126.0,16.0,7,4,11
615947221682-1,15.0,7.0,15.0,7.0,1.0,-14.0,-13.0,2.0,-4.0,-5.0,-4.0,-5.0,-22.0,-18.0,-40.0,-1.0,19.0,12.0,19.0,12.0,23.0,4.0,27.0,3.0,506.0,385.0,3.0,7.0,45.0,42.0,87.0,8.0,2,1,3
624665049832-1,153.0,114.0,153.0,114.0,168.0,4.0,172.0,1.0,-18.0,-9.0,-18.0,-9.0,-7.0,0.0,-7.0,-1.0,171.0,123.0,171.0,123.0,175.0,4.0,179.0,2.0,100.0,45.0,22.0,11.0,11.0,0.0,11.0,3.0,21,1,22
630196795468-1,378.0,292.0,378.0,292.0,385.0,7.0,392.0,1.0,-130.0,-109.0,-130.0,-109.0,-133.0,-3.0,-136.0,-1.0,508.0,401.0,508.0,401.0,518.0,10.0,528.0,2.0,375.0,308.0,162.0,139.0,165.0,3.0,168.0,3.0,5,1,6
630830314887-1,5.0,19.0,5.0,19.0,4.0,-1.0,3.0,3.0,12.0,17.0,12.0,17.0,4.0,-8.0,-4.0,0.0,-7.0,2.0,-7.0,2.0,0.0,7.0,7.0,3.0,897.0,716.0,12.0,3.0,239.0,227.0,466.0,16.0,4,2,6
635028748796-1,70.0,36.0,70.0,36.0,71.0,1.0,72.0,0.0,-20.0,-20.0,-20.0,-20.0,-30.0,-10.0,-40.0,-2.0,90.0,56.0,90.0,56.0,101.0,11.0,112.0,2.0,144.0,112.0,28.0,27.0,38.0,10.0,48.0,3.0,4,12,16
635627844153-1,58.0,33.0,58.0,33.0,59.0,1.0,60.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,58.0,33.0,58.0,33.0,60.0,2.0,62.0,2.0,72.0,44.0,0.0,0.0,3.0,3.0,6.0,1.0,5,1,6
636880880015-1,71.0,36.0,71.0,36.0,80.0,9.0,89.0,1.0,-10.0,-7.0,-10.0,-7.0,-17.0,-7.0,-24.0,-2.0,81.0,43.0,81.0,43.0,97.0,16.0,113.0,3.0,168.0,141.0,41.0,33.0,62.0,21.0,83.0,6.0,1,1,2
637076674869-1,58.0,44.0,58.0,44.0,110.0,52.0,162.0,27.0,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,0.0,57.0,43.0,57.0,43.0,110.0,53.0,163.0,27.0,2468.0,1881.0,7.0,5.0,8.0,1.0,9.0,6.0,8,4,12
645631419829-1,99.0,59.0,99.0,59.0,99.0,0.0,99.0,0.0,-5.0,-3.0,-5.0,-3.0,-10.0,-5.0,-15.0,1.0,104.0,62.0,104.0,62.0,109.0,5.0,114.0,-1.0,225.0,181.0,5.0,8.0,16.0,11.0,27.0,6.0,1,1,2
651033380113-1,151.0,84.0,151.0,84.0,152.0,1.0,153.0,2.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,152.0,84.0,152.0,84.0,153.0,1.0,154.0,2.0,228.0,169.0,4.0,4.0,10.0,6.0,16.0,6.0,6,1,7
665074721362-1,516.0,389.0,516.0,389.0,222.0,-294.0,-72.0,2.0,284.0,231.0,284.0,231.0,-44.0,-328.0,-372.0,-2.0,232.0,158.0,232.0,158.0,266.0,34.0,300.0,4.0,92.0,77.0,-284.0,-231.0,45.0,329.0,374.0,3.0,1,4,5
666955903726-1,53.0,30.0,53.0,30.0,54.0,1.0,55.0,1.0,-13.0,-13.0,-13.0,-13.0,-15.0,-2.0,-17.0,-4.0,66.0,43.0,66.0,43.0,69.0,3.0,72.0,5.0,727.0,571.0,57.0,42.0,63.0,6.0,69.0,10.0,6,4,10
670624314505-1,79.0,49.0,79.0,49.0,77.0,-2.0,75.0,1.0,-8.0,-8.0,-8.0,-8.0,-9.0,-1.0,-10.0,0.0,87.0,57.0,87.0,57.0,86.0,-1.0,85.0,1.0,15.0,14.0,8.0,8.0,10.0,2.0,12.0,1.0,7,18,25
682745660010-1,40.0,34.0,40.0,34.0,42.0,2.0,44.0,3.0,-425.0,-319.0,-425.0,-319.0,-510.0,-85.0,-595.0,-17.0,465.0,353.0,465.0,353.0,552.0,87.0,639.0,20.0,998.0,771.0,432.0,324.0,519.0,87.0,606.0,20.0,2,8,10
683978809180-1,37.0,20.0,37.0,20.0,55.0,18.0,73.0,12.0,-2.0,3.0,-2.0,3.0,-6.0,-4.0,-10.0,-1.0,39.0,17.0,39.0,17.0,61.0,22.0,83.0,13.0,1853.0,1555.0,12.0,6.0,23.0,11.0,34.0,5.0,1,1,2
701715138159-1,148.0,91.0,148.0,91.0,156.0,8.0,164.0,1.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,0.0,158.0,101.0,158.0,101.0,166.0,8.0,174.0,1.0,120.0,98.0,-7.0,1.0,69.0,76.0,145.0,3.0,12,3,15
704509286922-1,538.0,257.0,538.0,257.0,532.0,-6.0,526.0,1.0,-54.0,-38.0,-54.0,-38.0,-62.0,-8.0,-70.0,-1.0,592.0,295.0,592.0,295.0,594.0,2.0,596.0,2.0,134.0,91.0,57.0,41.0,74.0,17.0,91.0,2.0,1,1,2
711174513486-1,45.0,26.0,45.0,26.0,48.0,3.0,51.0,4.0,-6.0,-5.0,-6.0,-5.0,-7.0,-1.0,-8.0,0.0,51.0,31.0,51.0,31.0,55.0,4.0,59.0,4.0,1746.0,1291.0,149.0,109.0,154.0,5.0,159.0,5.0,13,10,23
715977394123-1,36.0,24.0,36.0,24.0,37.0,1.0,38.0,2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,-2.0,36.0,24.0,36.0,24.0,39.0,3.0,42.0,4.0,455.0,383.0,29.0,30.0,46.0,17.0,63.0,10.0,1,2,3
716044946624-1,98.0,50.0,98.0,50.0,99.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,98.0,50.0,98.0,50.0,100.0,2.0,102.0,1.0,654.0,476.0,54.0,45.0,73.0,19.0,92.0,10.0,7,2,9
723878921736-1,147.0,87.0,147.0,87.0,151.0,4.0,155.0,1.0,-129.0,-105.0,-129.0,-105.0,-131.0,-2.0,-133.0,-5.0,276.0,192.0,276.0,192.0,282.0,6.0,288.0,6.0,579.0,456.0,129.0,105.0,155.0,26.0,181.0,15.0,1,1,2
724173441755-1,118.0,74.0,118.0,74.0,89.0,-30.0,59.0,1.0,-272.0,-225.0,-272.0,-225.0,-350.0,-79.0,-429.0,-9.0,390.0,299.0,390.0,299.0,439.0,49.0,488.0,10.0,873.0,764.0,290.0,241.0,370.0,81.0,451.0,13.0,12,28,40
727878654500-1,24.0,12.0,24.0,12.0,24.0,0.0,24.0,2.0,6.0,6.0,6.0,6.0,0.0,-6.0,-6.0,0.0,18.0,6.0,18.0,6.0,24.0,6.0,30.0,2.0,380.0,295.0,-2.0,-3.0,5.0,7.0,12.0,2.0,1,1,2
743229358793-1,128.0,78.0,128.0,78.0,126.0,-2.0,124.0,0.0,-38.0,-34.0,-38.0,-34.0,-45.0,-7.0,-52.0,-5.0,166.0,112.0,166.0,112.0,171.0,5.0,176.0,5.0,228.0,188.0,56.0,49.0,64.0,8.0,72.0,9.0,2,7,9
748358347750-1,367.0,302.0,367.0,302.0,185.0,-182.0,3.0,7.0,138.0,119.0,138.0,119.0,-94.0,-232.0,-326.0,4.0,229.0,183.0,229.0,183.0,279.0,50.0,329.0,3.0,219.0,157.0,-91.0,-82.0,154.0,245.0,399.0,3.0,4,8,12
752285151573-1,250.0,171.0,250.0,171.0,251.0,1.0,252.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,-1.0,250.0,171.0,250.0,171.0,252.0,2.0,254.0,1.0,116.0,77.0,12.0,9.0,14.0,2.0,16.0,2.0,2,2,4
758742228984-1,24.0,14.0,24.0,14.0,25.0,1.0,26.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,24.0,14.0,24.0,14.0,26.0,2.0,28.0,2.0,410.0,308.0,0.0,0.0,2.0,2.0,4.0,1.0,1,1,2
759480577751-1,113.0,88.0,113.0,88.0,102.0,-11.0,91.0,7.0,-16.0,-16.0,-16.0,-16.0,-18.0,-2.0,-20.0,-4.0,129.0,104.0,129.0,104.0,120.0,-9.0,111.0,11.0,1138.0,966.0,30.0,27.0,169.0,139.0,308.0,13.0,10,5,15
762826378804-1,39.0,21.0,39.0,21.0,40.0,1.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,21.0,39.0,21.0,40.0,1.0,41.0,2.0,241.0,177.0,38.0,28.0,48.0,10.0,58.0,3.0,8,3,11
76308015488-1,-17.0,-11.0,-17.0,-11.0,50.0,67.0,117.0,9.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,-3.0,0.0,-14.0,-8.0,-14.0,-8.0,53.0,67.0,120.0,9.0,2102.0,1610.0,130.0,97.0,153.0,23.0,176.0,8.0,34,2,36
765099915043-1,-15.0,-21.0,-15.0,-21.0,16.0,31.0,47.0,2.0,-19.0,-15.0,-19.0,-15.0,-19.0,0.0,-19.0,0.0,4.0,-6.0,4.0,-6.0,35.0,31.0,66.0,2.0,528.0,465.0,104.0,93.0,125.0,21.0,146.0,16.0,9,1,10
77792755679-1,180.0,125.0,180.0,125.0,182.0,2.0,184.0,4.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,179.0,125.0,179.0,125.0,182.0,3.0,185.0,4.0,173.0,137.0,0.0,0.0,3.0,3.0,6.0,1.0,3,1,4
786124670697-1,16.0,5.0,16.0,5.0,16.0,0.0,16.0,-4.0,-10.0,-7.0,-10.0,-7.0,-10.0,0.0,-10.0,0.0,26.0,12.0,26.0,12.0,26.0,0.0,26.0,-4.0,749.0,596.0,95.0,78.0,136.0,41.0,177.0,20.0,23,10,33
786473783191-1,1.0,12.0,1.0,12.0,6.0,5.0,11.0,2.0,5.0,-6.0,5.0,-6.0,-3.0,-8.0,-11.0,0.0,-4.0,18.0,-4.0,18.0,9.0,13.0,22.0,2.0,241.0,153.0,-2.0,-5.0,33.0,35.0,68.0,4.0,1,1,2
787713977720-1,32.0,20.0,32.0,20.0,37.0,5.0,42.0,3.0,-113.0,-87.0,-113.0,-87.0,-118.0,-5.0,-123.0,-8.0,145.0,107.0,145.0,107.0,155.0,10.0,165.0,11.0,722.0,535.0,122.0,93.0,132.0,10.0,142.0,11.0,25,6,31
788216460043-1,126.0,82.0,126.0,82.0,126.0,0.0,126.0,0.0,124.0,82.0,124.0,82.0,124.0,0.0,124.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,774.0,550.0,774.0,550.0,774.0,0.0,774.0,1.0,7,1,8
789511319434-1,34.0,22.0,34.0,22.0,34.0,0.0,34.0,1.0,-17.0,-13.0,-17.0,-13.0,-43.0,-26.0,-69.0,-4.0,51.0,35.0,51.0,35.0,77.0,26.0,103.0,5.0,281.0,240.0,24.0,18.0,51.0,27.0,78.0,5.0,4,1,5
793362714398-1,283.0,190.0,283.0,190.0,305.0,22.0,327.0,1.0,-11.0,-9.0,-11.0,-9.0,-6.0,5.0,-1.0,0.0,294.0,199.0,294.0,199.0,311.0,17.0,328.0,1.0,346.0,262.0,83.0,64.0,93.0,10.0,103.0,6.0,19,18,37
798158155287-1,223.0,140.0,223.0,140.0,246.0,23.0,269.0,1.0,-4.0,-3.0,-4.0,-3.0,-5.0,-1.0,-6.0,0.0,227.0,143.0,227.0,143.0,251.0,24.0,275.0,1.0,103.0,80.0,17.0,12.0,26.0,9.0,35.0,3.0,1,2,3
803581039998-1,34.0,15.0,34.0,15.0,89.0,55.0,144.0,23.0,-2.0,-2.0,-2.0,-2.0,-10.0,-8.0,-18.0,-8.0,36.0,17.0,36.0,17.0,99.0,63.0,162.0,31.0,2538.0,1964.0,4.0,4.0,12.0,8.0,20.0,10.0,2,3,5
811202524573-1,484.0,343.0,484.0,343.0,489.0,5.0,494.0,2.0,-7.0,-3.0,-7.0,-3.0,-7.0,0.0,-7.0,-1.0,491.0,346.0,491.0,346.0,496.0,5.0,501.0,3.0,488.0,373.0,27.0,20.0,27.0,0.0,27.0,4.0,3,1,4
823701492337-1,18.0,10.0,18.0,10.0,18.0,0.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,19.0,11.0,19.0,11.0,19.0,0.0,19.0,0.0,30.0,26.0,11.0,8.0,29.0,18.0,47.0,1.0,4,2,6
827456040353-1,18.0,4.0,18.0,4.0,35.0,17.0,52.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,20.0,6.0,20.0,6.0,37.0,17.0,54.0,-3.0,690.0,571.0,170.0,153.0,244.0,74.0,318.0,15.0,3,1,4
830125785168-1,47.0,29.0,47.0,29.0,49.0,2.0,51.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,47.0,29.0,47.0,29.0,50.0,3.0,53.0,1.0,113.0,85.0,3.0,2.0,9.0,6.0,15.0,6.0,1,1,2
83024680479-1,44.0,26.0,44.0,26.0,48.0,4.0,52.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,-1.0,44.0,26.0,44.0,26.0,49.0,5.0,54.0,1.0,759.0,607.0,69.0,60.0,119.0,50.0,169.0,6.0,1,1,2
831481074061-1,104.0,66.0,104.0,66.0,353.0,249.0,602.0,-7.0,-92.0,-82.0,-92.0,-82.0,-97.0,-6.0,-103.0,-10.0,196.0,148.0,196.0,148.0,450.0,255.0,705.0,3.0,858.0,688.0,99.0,89.0,104.0,6.0,110.0,13.0,6,17,23
840047219771-1,454.0,348.0,454.0,348.0,454.0,0.0,454.0,1.0,-10.0,-11.0,-10.0,-11.0,-34.0,-24.0,-58.0,-3.0,464.0,359.0,464.0,359.0,488.0,24.0,512.0,4.0,273.0,231.0,29.0,35.0,113.0,84.0,197.0,9.0,5,7,12
840974593127-1,166.0,106.0,166.0,106.0,161.0,-4.0,157.0,1.0,-1.0,0.0,-1.0,0.0,-3.0,-2.0,-5.0,0.0,167.0,106.0,167.0,106.0,164.0,-2.0,162.0,1.0,11.0,8.0,1.0,0.0,5.0,4.0,9.0,1.0,14,1,15
846712784006-1,35.0,22.0,35.0,22.0,24.0,-11.0,13.0,1.0,15.0,11.0,15.0,11.0,2.0,-13.0,-11.0,0.0,20.0,11.0,20.0,11.0,22.0,2.0,24.0,1.0,265.0,192.0,-13.0,-10.0,16.0,29.0,45.0,3.0,2,2,4
847142063317-1,128.0,92.0,128.0,92.0,129.0,1.0,130.0,2.0,-3.0,-3.0,-3.0,-3.0,-15.0,-12.0,-27.0,0.0,131.0,95.0,131.0,95.0,144.0,13.0,157.0,2.0,962.0,796.0,6.0,6.0,18.0,12.0,30.0,1.0,1,1,2
850385692556-1,-1549.0,-1193.0,-1549.0,-1193.0,39.0,1588.0,1627.0,23.0,-715.0,-511.0,-715.0,-511.0,-716.0,-1.0,-717.0,-2.0,-834.0,-682.0,-834.0,-682.0,755.0,1589.0,2344.0,25.0,4388.0,3430.0,712.0,508.0,726.0,14.0,740.0,10.0,2,1,3
854918006643-1,80.0,48.0,80.0,48.0,79.0,-1.0,78.0,1.0,0.0,-1.0,0.0,-1.0,-2.0,-2.0,-4.0,0.0,80.0,49.0,80.0,49.0,81.0,1.0,82.0,1.0,785.0,595.0,392.0,305.0,401.0,9.0,410.0,10.0,14,16,30
866555028051-1,58.0,33.0,58.0,33.0,60.0,2.0,62.0,1.0,-17.0,-16.0,-17.0,-16.0,-25.0,-8.0,-33.0,-3.0,75.0,49.0,75.0,49.0,85.0,10.0,95.0,4.0,761.0,617.0,145.0,110.0,179.0,34.0,213.0,14.0,12,5,17
868169215507-1,64.0,35.0,64.0,35.0,68.0,4.0,72.0,0.0,-7.0,-6.0,-7.0,-6.0,-11.0,-4.0,-15.0,-2.0,71.0,41.0,71.0,41.0,79.0,8.0,87.0,2.0,737.0,587.0,16.0,13.0,36.0,20.0,56.0,12.0,6,4,10
871680425454-1,232.0,149.0,232.0,149.0,234.0,2.0,236.0,1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,-1.0,232.0,149.0,232.0,149.0,236.0,4.0,240.0,2.0,133.0,102.0,0.0,0.0,6.0,6.0,12.0,3.0,2,1,3
875146196630-1,91.0,48.0,91.0,48.0,92.0,1.0,93.0,0.0,-6.0,-5.0,-6.0,-5.0,-15.0,-9.0,-24.0,-1.0,97.0,53.0,97.0,53.0,107.0,10.0,117.0,1.0,206.0,148.0,10.0,9.0,39.0,29.0,68.0,11.0,3,100,103
879998518222-1,166.0,104.0,166.0,104.0,168.0,2.0,170.0,2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-1.0,-4.0,0.0,168.0,106.0,168.0,106.0,171.0,3.0,174.0,2.0,156.0,137.0,2.0,2.0,6.0,4.0,10.0,1.0,1,1,2
884710479881-1,171.0,120.0,171.0,120.0,171.0,0.0,171.0,0.0,6.0,6.0,6.0,6.0,0.0,-6.0,-6.0,1.0,165.0,114.0,165.0,114.0,171.0,6.0,177.0,-1.0,17.0,16.0,-4.0,-4.0,2.0,6.0,8.0,1.0,3,2,5
884805918649-1,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0,0.0,-6.0,0.0,6.0,4.0,6.0,4.0,6.0,0.0,6.0,0.0,21.0,16.0,21.0,16.0,21.0,0.0,21.0,1.0,2,2,4
887262333435-1,435.0,329.0,435.0,329.0,350.0,-85.0,265.0,2.0,-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,436.0,329.0,436.0,329.0,350.0,-86.0,264.0,2.0,4.0,2.0,-87.0,-86.0,1.0,88.0,89.0,1.0,1,23,24
887886114976-1,109.0,61.0,109.0,61.0,109.0,0.0,109.0,11.0,-18.0,-18.0,-18.0,-18.0,-21.0,-3.0,-24.0,-8.0,127.0,79.0,127.0,79.0,130.0,3.0,133.0,19.0,1620.0,1206.0,49.0,47.0,104.0,55.0,159.0,10.0,6,2,8
891933334155-1,227.0,189.0,227.0,189.0,144.0,-83.0,61.0,6.0,-92.0,-73.0,-92.0,-73.0,-106.0,-14.0,-120.0,-2.0,319.0,262.0,319.0,262.0,250.0,-69.0,181.0,8.0,1975.0,1557.0,22.0,16.0,160.0,138.0,298.0,11.0,1,4,5
894953225979-1,214.0,128.0,214.0,128.0,224.0,10.0,234.0,-1.0,-5.0,-3.0,-5.0,-3.0,-5.0,0.0,-5.0,0.0,219.0,131.0,219.0,131.0,229.0,10.0,239.0,-1.0,604.0,430.0,-55.0,-19.0,130.0,185.0,315.0,12.0,7,1,8
900920123775-1,408.0,300.0,408.0,300.0,408.0,0.0,408.0,0.0,-48.0,-39.0,-48.0,-39.0,-48.0,0.0,-48.0,0.0,456.0,339.0,456.0,339.0,456.0,0.0,456.0,0.0,319.0,269.0,319.0,269.0,319.0,0.0,319.0,1.0,9,9,18
903520681515-1,269.0,182.0,269.0,182.0,271.0,2.0,273.0,1.0,-3.0,-2.0,-3.0,-2.0,-5.0,-2.0,-7.0,-1.0,272.0,184.0,272.0,184.0,276.0,4.0,280.0,2.0,447.0,353.0,74.0,53.0,83.0,9.0,92.0,12.0,5,1,6
903850840581-1,97.0,55.0,97.0,55.0,103.0,6.0,109.0,5.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,99.0,57.0,99.0,57.0,105.0,6.0,111.0,5.0,1425.0,1128.0,4.0,4.0,7.0,3.0,10.0,2.0,4,2,6
911193036416-1,56.0,31.0,56.0,31.0,59.0,3.0,62.0,4.0,6.0,4.0,6.0,4.0,-2.0,-8.0,-10.0,-2.0,50.0,27.0,50.0,27.0,61.0,11.0,72.0,6.0,1397.0,1079.0,-6.0,-4.0,3.0,9.0,12.0,3.0,1,3,4
911949672703-1,173.0,50.0,173.0,50.0,175.0,2.0,177.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,170.0,47.0,170.0,47.0,172.0,2.0,174.0,0.0,91.0,69.0,1.0,1.0,13.0,12.0,25.0,1.0,3,1,4
91318994359-1,47.0,23.0,47.0,23.0,50.0,3.0,53.0,-1.0,-8.0,-8.0,-8.0,-8.0,-28.0,-20.0,-48.0,-5.0,55.0,31.0,55.0,31.0,78.0,23.0,101.0,4.0,261.0,219.0,43.0,34.0,63.0,20.0,83.0,8.0,2,2,4
