quantitative_metric,complexity_metric,method,n_samples,spearman_r,spearman_p,pearson_r,pearson_p
bypass_vs_gt_diff_lines_removed,mi_score,ground_truth,1094,0.3076030971183146,2.093036473436952e-25,0.1745286382070658,6.22105081428987e-09
bypass_vs_gt_diff_total_change,lloc,ground_truth,1094,-0.30689764724143903,2.724359930013985e-25,-0.2741565440698388,2.5815358160038337e-20
agent_vs_bypass_diff_hunks,cc_total,bypass,1091,0.3046326875961915,7.324330726423126e-25,0.18152782499246406,1.547976780604678e-09
agent_vs_bypass_diff_lines_removed,lloc,bypass,1091,0.3039475498397449,9.427330652642578e-25,0.4382933986571829,1.9760496867983744e-52
gt_diff_total_change,cc_max,bypass,1100,0.3026736173977284,9.725368366451163e-25,0.2760326956864917,1.0958532440637528e-20
bypass_vs_gt_diff_total_change,sloc,bypass,1094,-0.3024376110222677,1.4186263303120199e-24,-0.27968651161113206,4.138335313962876e-21
agent_vs_bypass_diff_hunks,h_bugs,bypass,1091,0.2983645710645122,7.191071459464026e-24,0.17904588875118452,2.5952517868790356e-09
bypass_vs_gt_diff_total_change,cc_total,bypass,1094,-0.29621131967613723,1.353846365160728e-23,-0.29880651505976924,5.322709264899691e-24
bypass_vs_gt_diff_lines_removed,cc_total,ground_truth,1094,-0.2960389481022942,1.4399629367585088e-23,-0.2717489992024446,5.654051041626687e-20
gt_diff_hunks,cc_max,agent,1100,0.2959006667646348,1.1462319805887547e-23,0.14267759513737865,2.0238676040329695e-06
gt_diff_lines_added,cc_max,bypass,1100,0.2952654723815419,1.439757134637182e-23,0.22971928322642268,1.2227098986127793e-14
bypass_vs_gt_diff_lines_removed,h_difficulty,bypass,1094,-0.29524295104750825,1.9133350454531466e-23,-0.19945391867795328,2.8038186558363875e-11
gt_diff_lines_removed,cc_avg,bypass,1100,0.29479936226749953,1.7013352456575535e-23,0.08140500303634139,0.00690662842945537
agent_vs_bypass_diff_hunks,mi_score,ground_truth,1091,-0.2939023759038731,3.53377652117943e-23,-0.20166338802474806,1.7857545573571526e-11
bypass_vs_gt_diff_lines_removed,cc_max,bypass,1094,-0.29115752835197883,8.113905926503448e-23,-0.25946963663932093,2.7302314757158176e-18
bypass_vs_gt_diff_lines_removed,mi_score,bypass,1094,0.2886525672080817,1.9449432075455505e-22,0.20662441145578078,5.1626775093874815e-12
bypass_vs_gt_diff_total_change,lloc,bypass,1094,-0.2885432285213048,2.0201916720009827e-22,-0.2632303848252822,8.50759669803116e-19
bypass_vs_gt_diff_lines_removed,h_bugs,ground_truth,1094,-0.2883806988276371,2.137394857526376e-22,-0.30498398709840624,5.549581774595973e-25
bypass_vs_gt_diff_lines_added,cc_total,ground_truth,1094,-0.28836283190275747,2.150682069080494e-22,-0.28461310346708907,7.819143195168837e-22
agent_vs_bypass_diff_lines_removed,lloc,ground_truth,1091,0.28682084676350195,4.174853702846668e-22,0.4384394230535081,1.8120852652809496e-52
agent_vs_bypass_diff_hunks,mi_score,bypass,1091,-0.2858625764166815,5.799994175676668e-22,-0.20327750104942421,1.2227255077491861e-11
agent_vs_bypass_diff_hunks,cc_total,ground_truth,1091,0.28552253732367544,6.515712831292553e-22,0.18596802587871372,6.031484203621439e-10
agent_vs_bypass_diff_lines_removed,cc_total,bypass,1091,0.28440753537035124,9.531881650167197e-22,0.47045911878887947,3.5548681064108764e-61
bypass_vs_gt_diff_lines_added,cc_total,bypass,1094,-0.2837090484978908,1.0642567932854086e-21,-0.25764441546078415,4.775624428338847e-18
bypass_vs_gt_diff_lines_added,sloc,bypass,1094,-0.2836530502414286,1.0847343826441082e-21,-0.24533327472262167,1.850351925385275e-16
bypass_vs_gt_diff_total_change,cc_total,ground_truth,1094,-0.2835306775578523,1.1308486301078367e-21,-0.30370856970149,8.89051427554985e-25
agent_vs_bypass_diff_hunks,h_bugs,ground_truth,1091,0.27966107691602216,4.722383025834502e-21,0.1853801922887196,6.842220962591331e-10
agent_vs_bypass_diff_hunks,h_difficulty,bypass,1091,0.2784616779093189,7.041299059203915e-21,0.16372774825847988,5.372658468599928e-08
bypass_vs_gt_diff_total_change,h_bugs,bypass,1094,-0.27688611270534425,1.0512657790159128e-20,-0.32027280424835736,1.625128140565244e-27
agent_vs_bypass_diff_lines_removed,mi_score,ground_truth,1091,-0.2765090528337183,1.343604675153747e-20,-0.21746135975109418,3.8239893762115526e-13
gt_sloc_delta,sloc,ground_truth,1100,0.2749126482402575,1.587413500033542e-20,0.14016969828467737,3.0611438078985537e-06
agent_vs_bypass_diff_hunks,cc_max,bypass,1091,0.2747571638283369,2.3884812153752263e-20,0.12360342884863611,4.2457294877681345e-05
bypass_vs_gt_diff_total_change,mi_score,bypass,1094,0.2732381022205648,3.484736044578967e-20,0.2249258034076725,5.1630571798163975e-14
bypass_vs_gt_diff_lines_added,lloc,bypass,1094,-0.27218209680409317,4.913170215636215e-20,-0.22582189311954545,4.076948702415372e-14
gt_sloc_delta,mi_score,ground_truth,1100,-0.26970365448749306,8.6972094877109e-20,-0.1696980026242684,1.4877727379871647e-08
gt_sloc_delta,lloc,ground_truth,1100,0.26946510120874023,9.393451699889194e-20,0.1181796809384838,8.533683328070314e-05
gt_loc_delta,sloc,ground_truth,1100,0.2693350558590426,9.795881017840225e-20,0.166059225718074,3.028082139245221e-08
bypass_vs_gt_diff_total_change,cc_max,bypass,1094,-0.26737264825012175,2.304375002280257e-19,-0.2787044550934731,5.74572340559908e-21
bypass_vs_gt_diff_lines_removed,h_difficulty,ground_truth,1094,-0.26613522363820713,3.4123663246825086e-19,-0.1544521978212041,2.84245551719307e-07
agent_vs_bypass_diff_lines_removed,h_bugs,bypass,1091,0.26604040285203795,3.93086383234749e-19,0.5203539190008468,9.914716670775111e-77
gt_sloc_delta,cc_total,ground_truth,1100,0.2656406374012752,3.194838911296549e-19,0.11555961938931172,0.0001224360351632461
gt_loc_delta,lloc,ground_truth,1100,0.2654888521046046,3.3525175787911645e-19,0.1288314091794648,1.8202678456853974e-05
bypass_vs_gt_diff_total_change,h_bugs,ground_truth,1094,-0.26547314813905404,4.2064469883974507e-19,-0.33050681786721836,2.6984314852284897e-29
gt_loc_delta,mi_score,ground_truth,1100,-0.26337671117678735,6.532981881677275e-19,-0.1951646168102808,6.6478687351604e-11
bypass_vs_gt_diff_lines_removed,cc_max,ground_truth,1094,-0.2612508774570367,1.5753251428670153e-18,-0.19264641822740394,1.319567367549799e-10
bypass_vs_gt_diff_lines_added,mi_score,bypass,1094,0.2607053359969121,1.865138152945934e-18,0.2067939137493054,4.9564924757586396e-12
bypass_vs_gt_diff_lines_added,h_bugs,ground_truth,1094,-0.2600483314457123,2.2845915575391104e-18,-0.30284595843165574,1.2211658804305936e-24
bypass_vs_gt_diff_lines_added,cc_max,bypass,1094,-0.2597807023140456,2.48098159079597e-18,-0.2536786494861358,1.585104025660075e-17
gt_loc_delta,cc_total,ground_truth,1100,0.2597594813237644,2.0196773635494457e-18,0.12547131088561372,3.0037319577819026e-05
